osmid,name,amenity,city,district,street,housenumber,lat,lon
n2591468234,buvette,cafe,Минск,Фрунзенский район,,,n2591468234,53.8760002
n305687129,Magic Bar,cafe,Минск,Первомайский район,,,n305687129,53.9349647
w354591695,д/с №397,kindergarten,Минск,Московский район,,,w354591695,53.8636624458237
w25393312,Столовая,cafe,Минск,Фрунзенский район,,,w25393312,53.9186927265147
n2567200798,Аленфарм-Плюс ОДО Аптека №14,pharmacy,Минск,Фрунзенский район,улица Притыцкого,83,n2567200798,53.9055793
n305679637,Савана-Спорт,pharmacy,Минск,Октябрьский район,,,n305679637,53.8782296
n4317079989,Sherlock,cafe,Минск,Октябрьский район,,,n4317079989,53.8939844
n4296876390,"""Заботливая аптека""",pharmacy,Минск,Октябрьский район,,,n4296876390,53.8778755
n1308851366,Мясны смак,restaurant,Минск,Октябрьский район,,,n1308851366,53.8754513
n305686118,Мелисса,pharmacy,Минск,Заводской район,,,n305686118,53.86176
n1487274451,,pharmacy,Минск,Первомайский район,,,n1487274451,53.947864
n3965848800,"магазин - булочная ""hata""",cafe,Минск,Партизанский район,улица Карвата,31г,n3965848800,53.9124454
n4024254025,Аптека №4,pharmacy,Минск,Октябрьский район,,,n4024254025,53.8923433
w354591654,д/с №305,kindergarten,Минск,Заводской район,,,w354591654,53.844161365276
n1041688948,Черпак,cafe,Минск,Центральный район,Обойная улица,14,n1041688948,53.9056975
n1692395960,Funny Chicken,fast_food,Минск,Московский район,,,n1692395960,53.8879763
n988599143,Presto Pizza,fast_food,Минск,Октябрьский район,улица Жуковского,1,n988599143,53.8848224
w384591996,СШ №143,school,Минск,Заводской район,,,w384591996,53.836532285101
n3573525695,QuickCafe,cafe,Минск,Центральный район,,,n3573525695,53.9384562
n3508968771,Лагерь «Acting Camp»,school,Минск,Первомайский район,улица Кедышко,10,n3508968771,53.9296266
n3233060662,Аптека № 11,pharmacy,Минск,Московский район,,,n3233060662,53.8456419
w330215589,д/с №350,kindergarten,Минск,Фрунзенский район,,,w330215589,53.9133705673142
w25320526,,university,Минск,Партизанский район,,,w25320526,53.9108022605608
n443698599,Союз-Online,cafe,Минск,Ленинский район,,,n443698599,53.902032
w25317961,Детская музыкальная школа искусств №2 имени Н.И.Аладова,school,Минск,Заводской район,Ангарская улица,88,w25317961,53.8798124148048
